;03/01/2011;01/02/2011;01/03/2011;01/04/2011;02/05/2011;01/06/2011;01/07/2011;01/08/2011;01/09/2011;03/10/2011;01/11/2011;01/12/2011
1w;0,590;0,951;0,706;0,777;1,231;1,058;1,177;1,194;1,098;1,197;1,134;0,894
2w;0,641;0,931;0,779;0,856;1,236;1,102;1,236;1,299;1,202;1,246;1,212;0,986
3w;0,699;0,917;0,833;0,910;1,240;1,162;1,287;1,377;1,278;1,298;1,287;1,071
1m;0,774;0,915;0,867;0,984;1,244;1,223;1,332;1,434;1,351;1,355;1,362;1,205
2m;0,876;0,972;0,960;1,101;1,279;1,293;1,420;1,495;1,420;1,426;1,449;1,304
3m;1,001;1,082;1,096;1,249;1,395;1,434;1,556;1,609;1,543;1,557;1,585;1,469
4m;1,057;1,147;1,185;1,343;1,485;1,513;1,618;1,662;1,603;1,612;1,637;1,537
5m;1,137;1,229;1,275;1,441;1,579;1,613;1,705;1,737;1,668;1,678;1,703;1,612
6m;1,224;1,331;1,382;1,556;1,682;1,714;1,797;1,820;1,748;1,757;1,782;1,697
7m;1,274;1,386;1,443;1,631;1,757;1,777;1,853;1,874;1,806;1,814;1,839;1,752
8m;1,320;1,444;1,512;1,715;1,829;1,842;1,910;1,930;1,854;1,860;1,889;1,815
9m;1,369;1,496;1,582;1,797;1,914;1,930;1,980;1,992;1,910;1,919;1,947;1,867
10m;1,413;1,551;1,642;1,866;1,989;1,998;2,040;2,051;1,962;1,970;1,994;1,923
11m;1,458;1,599;1,704;1,936;2,054;2,058;2,097;2,113;2,029;2,035;2,054;1,977
12m;1,504;1,660;1,773;2,013;2,139;2,137;2,172;2,177;2,089;2,085;2,111;2,030
